,Unnamed: 0,device,event_id,channel,timestamp_tz,active_power,active_power_delta,apparent_power,coil_reversed,complete,current,energy,energy_delta,evt_type,firmware,hz,phase_shift,reactive_power,reactive_power_delta,timestamp,voltage,wifi_strength,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,harmonic_img_1,harmonic_img_2,harmonic_img_3,harmonic_img_4,harmonic_img_5,harmonic_img_6,harmonic_img_7,harmonic_img_8,harmonic_img_9,harmonic_real_1,harmonic_real_2,harmonic_real_3,harmonic_real_4,harmonic_real_5,harmonic_real_6,harmonic_real_7,harmonic_real_8,harmonic_real_9,hour
160,869,7,119127,1,2020-06-18 10:48:00.000000,204,199.0,953.0,,False,3.946,1320704.0,0,1,89,50.0,68.2,514,-134,2020-06-18 10:48:00.000000,,54,4.418,4.316,4.37,3.806,3.707,3.824,3.575,3.912,4.111000000000001,4.053999999999999,-5704,-14,1574,-9,-77,-18,211,3,61,-872,-37,674,-16,-107,82,138,3,44,10
349,679,7,118937,1,2020-06-18 10:19:33.000000,178,173.0,869.0,,False,3.623,1320664.0,1,1,89,50.0,75.9,719,725,2020-06-18 10:19:33.000000,239.90400000000002,51,3.7430000000000003,3.451,3.471,3.217,3.648,3.781,4.379,4.184,3.92,4.511,-5583,-6,866,-19,82,57,-107,23,-33,-2102,-39,1513,0,-155,34,204,0,19,10
659,688,7,118946,1,2020-06-18 10:20:37.000000,253,248.0,1176.0,,False,4.905,1320666.0,1,1,89,50.0,65.0,548,555,2020-06-18 10:20:37.000000,239.90400000000002,51,4.36,3.861,3.725,4.473,4.7989999999999995,4.846,4.4030000000000005,4.573,4.9639999999999995,5.247999999999999,-6486,9,1310,44,9,-1,-44,8,-29,-2046,-41,1592,-26,-285,-9,255,6,117,10
112,501,7,114405,1,2020-06-15 09:30:39.000000,2,0.0,13.0,,True,0.057,1320150.0,1,5,89,50.0,-70.6,-6,0,2020-06-15 09:30:39.000000,240.773,52,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,41,11,0,-8,-6,0,0,0,1,-13,-9,-9,-3,-1,0,0,0,3,9
738,858,7,119116,1,2020-06-18 10:46:57.000000,147,21.0,740.0,,False,3.0639999999999996,1320702.0,0,1,89,50.0,77.6,693,694,2020-06-18 10:46:57.000000,241.643,54,2.884,3.0239999999999996,3.347,3.4,3.177,3.3139999999999996,3.0589999999999997,2.824,2.6430000000000002,2.509,-3798,9,976,3,123,0,89,0,0,-834,-11,625,3,31,-44,75,0,-36,10
772,322,7,114226,1,2020-06-15 08:52:04.000000,5,-244.0,15.0,,True,0.064,1320108.0,0,2,89,50.0,-53.0,-7,-901,2020-06-15 08:52:04.000000,,53,3.108,3.0780000000000003,3.545,3.344,3.872,3.983,3.94,3.8139999999999996,3.927,4.077,37,13,0,-1,0,0,0,0,0,-23,-8,-13,0,-1,0,0,0,0,8
762,756,7,119014,1,2020-06-18 10:30:00.000000,59,39.0,,,False,1.4369999999999998,1320677.0,0,1,89,50.0,77.6,276,239,2020-06-18 10:30:00.000000,239.035,50,0.9420000000000001,0.94,0.953,1.138,1.173,1.163,1.295,1.308,1.349,1.463,-2017,1,726,0,44,8,-82,-11,-14,-475,-18,391,0,-34,-4,-97,18,-14,10
109,292,7,114196,1,2020-06-15 08:46:19.000000,20,-157.0,46.0,,True,0.193,1320099.0,0,2,89,50.0,62.9,40,-744,2020-06-15 08:46:19.000000,239.90400000000002,51,3.425,3.534,3.7289999999999996,3.641,3.324,3.2239999999999998,3.0439999999999996,2.786,3.014,2.998,-222,16,0,-1,0,0,0,0,0,-107,0,-9,0,-3,0,0,0,0,8
87,360,7,114264,1,2020-06-15 08:56:54.000000,52,-101.0,296.0,,True,1.217,1320114.0,0,2,89,50.0,79.1,281,-176,2020-06-15 08:56:54.000000,243.38099999999997,53,3.0239999999999996,2.9219999999999997,3.418,3.205,2.859,3.293,3.247,3.2880000000000003,3.6910000000000003,1.666,-1689,6,711,0,-34,0,-87,0,0,-287,-9,194,-1,-54,0,-41,0,0,8
687,305,7,114209,1,2020-06-15 08:49:48.000000,98,87.0,616.0,,False,2.559,1320104.0,0,1,89,50.0,79.1,524,56,2020-06-15 08:49:48.000000,240.773,51,0.7829999999999999,,0.853,0.884,0.925,0.996,1.125,1.186,1.23,1.26,-2666,-8,904,0,155,13,-11,3,-85,-427,-67,330,0,3,-3,-34,4,-44,8
55,143,7,114047,1,2020-06-15 08:23:25.000000,2297,-86.0,2458.0,,False,10.399000000000001,1319945.0,1,2,89,50.0,22.5,953,-109,2020-06-15 08:23:25.000000,236.42700000000002,50,10.597000000000001,10.89,10.838,11.097000000000001,10.792,10.683,10.619000000000002,10.716,10.545,10.83,-5778,-99,1161,113,179,-72,429,-41,42,-13242,14,618,-56,272,85,141,-28,26,8
603,646,7,118904,1,2020-06-18 10:14:56.000000,2240,180.0,2398.0,,False,10.255999999999998,1320529.0,4,1,89,50.0,10.1,414,421,2020-06-18 10:14:56.000000,,53,10.008,10.079,10.193,10.135,10.2,10.132,9.845,9.939,9.995,9.883,-4572,-18,886,21,39,37,217,0,18,-13477,3,805,16,407,-62,353,-14,59,10
665,196,7,114100,1,2020-06-15 08:30:49.000000,5,-209.0,15.0,,True,0.062,1320077.0,0,2,89,50.0,-53.0,-7,-883,2020-06-15 08:30:49.000000,243.38099999999997,50,3.623,3.43,3.5239999999999996,3.63,3.927,4.631,4.69,4.504,4.6819999999999995,4.501,36,9,0,0,0,0,0,0,0,-19,-8,-11,0,0,0,0,0,0,8
448,589,7,118847,1,2020-06-18 10:07:40.000000,2238,-97.0,2362.0,,False,10.104,1320264.0,1,2,89,50.0,17.9,740,-74,2020-06-18 10:07:40.000000,233.82,55,10.809000000000001,10.475,10.495,10.687999999999999,,10.700999999999999,10.571,10.52,10.472000000000001,10.425999999999998,-5420,21,1018,8,165,-44,328,0,51,-13224,-13,612,-6,392,-9,209,1,-3,10
345,931,7,119189,1,2020-06-18 10:58:21.000000,306,200.0,1217.0,,False,5.019,1320718.0,0,1,89,50.0,72.7,1000,856,2020-06-18 10:58:21.000000,242.512,51,5.284,4.956,5.468999999999999,,5.854,5.865,5.664,5.167000000000001,5.012,5.507000000000001,-6139,19,1549,1,-36,-11,118,-4,34,-1399,-14,1074,-11,-179,-8,207,-11,69,10
606,1017,7,119275,1,2020-06-18 11:15:46.000000,100,95.0,570.0,,False,2.362,1320747.0,0,1,89,50.0,79.1,534,541,2020-06-18 11:15:46.000000,241.643,52,1.224,1.242,1.2670000000000001,1.41,1.4369999999999998,1.48,1.5190000000000001,1.615,1.626,1.79,-2974,31,869,8,158,-28,6,-4,-51,-524,-21,397,-9,42,-3,-26,4,-21,11
785,419,7,114323,1,2020-06-15 09:07:13.000000,20,-139.0,45.0,,True,0.188,1320129.0,0,2,89,50.0,61.5,38,-362,2020-06-15 09:07:13.000000,239.90400000000002,50,3.022,3.2710000000000004,3.217,2.8160000000000003,2.986,2.95,2.9960000000000004,3.214,3.3310000000000004,3.247,-211,13,0,-3,0,0,0,0,0,-108,-4,-11,-1,0,0,0,0,0,9
623,545,7,118803,1,2020-06-18 10:01:55.000000,172,15.0,860.0,,False,3.573,1320157.0,0,1,89,50.0,76.6,735,72,2020-06-18 10:01:55.000000,240.773,61,4.131,3.747,3.747,3.529,3.255,3.4610000000000003,3.6639999999999997,3.5589999999999997,3.428,3.245,-4705,6,1158,11,54,8,163,0,11,-1016,-18,782,-19,-26,-14,165,-9,19,10
965,236,7,114140,1,2020-06-15 08:36:51.000000,69,-52.0,393.0,,False,,1320085.0,0,2,89,50.0,78.7,357,-208,2020-06-15 08:36:51.000000,241.643,54,2.1590000000000003,2.126,2.036,1.966,2.024,2.24,2.189,2.011,2.019,1.925,-2110,14,800,-1,36,0,-87,0,-42,-374,-9,268,-3,-33,-3,-64,0,-16,8
670,830,7,119088,1,2020-06-18 10:41:54.000000,65,44.0,390.0,,False,1.635,1320695.0,0,1,89,50.0,72.4,208,170,2020-06-18 10:41:54.000000,239.035,50,3.1060000000000003,3.214,3.278,3.0589999999999997,2.714,2.92,2.562,2.229,2.191,1.9380000000000002,-2724,94,874,-24,118,-9,-36,-4,-52,-524,-18,374,-54,16,-9,-41,26,-52,10
832,988,7,119246,1,2020-06-18 11:07:55.000000,71,-8.0,426.0,,False,1.76,,0,2,89,50.0,79.4,395,-55,2020-06-18 11:07:55.000000,242.512,53,1.7009999999999998,1.7109999999999999,1.768,1.8719999999999999,1.818,1.7930000000000001,1.7530000000000001,1.788,1.786,1.8359999999999999,-2402,14,752,16,95,-14,-18,1,-36,-615,-8,495,-33,19,19,-90,4,-70,11
1039,114,7,114018,1,2020-06-15 08:19:47.000000,2340,215.0,2552.0,,False,10.677,1319809.0,5,1,89,50.0,12.6,530,500,2020-06-15 08:19:47.000000,239.035,50,11.370999999999999,11.213,11.376,10.947000000000001,10.595999999999998,10.992,10.937000000000001,,10.853,10.502,-4601,-19,963,-3,-92,8,125,6,51,-13942,-64,953,-14,339,-8,433,14,67,8
745,844,7,119102,1,2020-06-18 10:43:52.000000,87,65.0,477.0,,False,1.9909999999999999,1320697.0,0,1,89,50.0,71.0,255,216,2020-06-18 10:43:52.000000,239.90400000000002,50,2.331,2.148,2.354,2.25,2.0140000000000002,2.1069999999999998,2.145,2.367,2.283,2.161,-2775,4,859,1,146,-8,-31,13,-61,-574,-19,425,3,8,14,-47,-26,-70,10
183,671,7,118929,1,2020-06-18 10:18:28.000000,2260,-35.0,2391.0,,False,10.116,1320642.0,1,2,89,50.0,18.6,764,-60,2020-06-18 10:18:28.000000,236.42700000000002,51,9.972000000000001,9.926,10.033,10.23,10.177,10.467,10.571,10.355,10.15,10.177999999999999,-4897,-24,976,-39,156,46,285,0,42,-13290,-44,625,-14,415,44,247,0,-6,10
1026,498,7,114402,1,2020-06-15 09:27:39.000000,2,0.0,13.0,,True,0.057,1320149.0,0,5,89,50.0,-69.9,-6,0,2020-06-15 09:27:39.000000,239.90400000000002,54,,0.057,0.057,0.057,,0.057,,0.057,0.057,0.057,37,11,0,-8,-6,0,0,-3,0,-16,-14,-11,0,-3,-4,1,1,0,9
401,532,7,118790,1,2020-06-18 10:00:23.000000,5,-115.0,14.0,,True,0.062,1320154.0,0,2,89,50.0,-54.1,-6,-168,2020-06-18 10:00:23.000000,239.035,61,2.572,2.417,2.43,2.166,2.052,2.166,2.2880000000000003,2.531,2.529,2.61,19,6,0,-1,0,0,0,0,0,-26,-9,-8,0,-1,0,0,0,1,10
537,992,7,119250,1,2020-06-18 11:08:27.000000,66,-27.0,375.0,,False,,1320734.0,0,2,89,50.0,78.7,332,-192,2020-06-18 11:08:27.000000,243.38099999999997,53,1.97,1.984,1.9509999999999998,1.851,2.009,1.973,1.819,1.777,1.683,1.5590000000000002,-1937,9,651,0,9,1,-33,0,0,-539,-8,443,0,-21,0,-80,0,-23,11
746,724,7,118982,1,2020-06-18 10:25:20.000000,5,-319.0,15.0,,True,0.062,,1,2,89,50.0,-53.4,-7,-822,2020-06-18 10:25:20.000000,239.90400000000002,53,,0.062,0.066,0.066,0.07200000000000001,0.07,0.08199999999999999,0.07400000000000001,0.07,0.067,37,9,0,-3,-3,0,0,0,0,-26,-11,-13,0,0,0,0,0,0,10
500,344,7,114248,1,2020-06-15 08:55:09.000000,254,3.0,1108.0,,False,4.587,1320112.0,0,1,89,50.0,74.1,904,362,2020-06-15 08:55:09.000000,241.643,53,3.7880000000000003,4.567,4.859,4.725,4.453,4.989,4.4910000000000005,4.306,4.9639999999999995,4.266,-6151,36,1605,-4,-57,3,141,0,37,-1247,-16,1014,-33,-204,9,204,-8,70,8
650,799,7,119057,1,2020-06-18 10:37:38.000000,310,305.0,1271.0,,False,5.319,1320689.0,1,1,89,50.0,70.3,875,882,2020-06-18 10:37:38.000000,239.035,50,2.795,3.036,2.9939999999999998,3.364,3.3339999999999996,3.326,3.4930000000000003,3.6460000000000004,3.06,3.61,-6187,28,1468,72,-84,-3,74,3,-14,-1612,-13,1263,-8,-240,18,242,9,108,10
133,68,7,113972,1,2020-06-15 08:13:44.000000,2304,-25.0,2482.0,,False,,1319585.0,1,2,89,50.0,21.0,898,-59,2020-06-15 08:13:44.000000,236.42700000000002,50,10.484000000000002,10.568,10.629000000000001,10.741,10.619000000000002,10.472000000000001,10.427999999999999,10.568,10.614,10.401,-3161,-3,694,4,-168,23,-61,0,0,-14043,-54,980,-13,346,-16,422,11,44,8
327,888,7,119146,1,2020-06-18 10:50:50.000000,228,,1069.0,,False,,1320708.0,0,1,89,50.0,72.7,751,752,2020-06-18 10:50:50.000000,,54,2.333,2.443,2.557,2.597,2.673,2.88,2.818,3.108,3.062,3.4130000000000003,-5784,-14,1060,4,56,21,-82,-8,-61,-2016,-21,1521,4,-181,-37,239,8,74,10
1033,84,7,113988,1,2020-06-15 08:16:09.000000,2097,-242.0,2099.0,,True,8.881,1319677.0,4,2,89,50.0,15.8,604,-264,2020-06-15 08:16:09.000000,236.42700000000002,50,10.795,10.503,10.809000000000001,10.705,11.083,11.342,11.305,11.38,11.295,10.815,-3531,-8,684,-4,-146,13,-46,-1,1,-14071,-70,1067,-24,306,11,396,8,52,8
108,472,7,114376,1,2020-06-15 09:16:42.000000,92,,505.0,,False,2.075,1320141.0,0,1,89,50.0,76.2,382,342,2020-06-15 09:16:42.000000,243.38099999999997,54,2.0980000000000003,2.116,2.181,2.214,2.28,2.24,2.191,2.103,2.044,2.197,-2854,8,886,1,158,6,-28,-9,-70,-516,-18,372,-8,1,-13,-49,3,-51,9
266,415,7,114319,1,2020-06-15 09:06:47.000000,195,167.0,872.0,,False,3.6510000000000002,1320128.0,0,1,89,50.0,65.0,425,432,2020-06-15 09:06:47.000000,239.035,50,1.973,1.9680000000000002,2.116,2.2119999999999997,2.215,2.364,2.349,2.451,2.5469999999999997,2.597,-5052,-6,1179,-6,57,11,125,-6,23,-1161,-24,806,-3,-59,1,178,1,36,9
355,1018,7,119276,1,2020-06-18 11:15:48.000000,5,-66.0,15.0,,True,0.062,1320747.0,0,2,89,50.0,-52.0,-7,-541,2020-06-18 11:15:48.000000,242.512,52,1.386,1.3559999999999999,1.331,1.367,1.382,1.39,0.059000000000000004,0.064,0.061,0.064,33,8,0,0,0,0,0,0,0,-23,-6,-4,0,0,0,0,0,0,11
1011,717,7,118975,1,2020-06-18 10:24:21.000000,225,213.0,988.0,,False,4.105,1320671.0,1,1,89,50.0,71.7,690,691,2020-06-18 10:24:21.000000,240.773,53,4.672,4.74,4.349,4.05,,3.3539999999999996,3.4130000000000003,3.555,3.824,4.252,-5690,0,1188,11,13,-54,13,3,-14,-1673,0,1252,-16,-188,-26,245,26,80,10
